treatment,dose,weight,gain,feed_efficiency,replicate,week
Control,0,250.5,12.3,0.49,1,1
Control,0,245.8,11.8,0.48,2,1
Control,0,252.1,12.5,0.50,3,1
Control,0,248.3,12.0,0.48,4,1
Control,0,255.0,13.1,0.51,5,1
Control,0,249.7,12.2,0.49,6,1
Control,0,253.2,12.8,0.50,7,1
Control,0,246.5,11.5,0.47,8,1
Low,5,268.4,18.2,0.68,1,1
Low,5,272.1,19.0,0.70,2,1
Low,5,265.8,17.5,0.66,3,1
Low,5,270.3,18.5,0.68,4,1
Low,5,268.9,18.0,0.67,5,1
Low,5,274.5,19.5,0.71,6,1
Low,5,267.2,17.8,0.66,7,1
Low,5,271.0,18.8,0.69,8,1
Medium,10,285.6,24.3,0.85,1,1
Medium,10,290.1,25.5,0.89,2,1
Medium,10,282.4,23.0,0.81,3,1
Medium,10,288.0,24.8,0.87,4,1
Medium,10,286.3,24.0,0.84,5,1
Medium,10,291.5,26.0,0.91,6,1
Medium,10,283.7,23.5,0.82,7,1
Medium,10,289.2,25.0,0.87,8,1
High,20,298.5,30.2,1.01,1,1
High,20,302.3,31.5,1.05,2,1
High,20,295.8,29.0,0.97,3,1
High,20,301.0,31.0,1.03,4,1
High,20,300.2,30.8,1.03,5,1
High,20,304.5,32.0,1.07,6,1
High,20,297.1,29.5,0.98,7,1
High,20,303.8,31.8,1.06,8,1
Control,0,265.0,18.5,0.70,1,2
Control,0,268.2,19.0,0.71,2,2
Control,0,262.5,17.8,0.67,3,2
Control,0,270.0,20.0,0.74,4,2
Control,0,267.8,18.8,0.70,5,2
Control,0,269.5,19.5,0.73,6,2
Control,0,264.0,18.0,0.67,7,2
Control,0,271.3,20.2,0.75,8,2
Low,5,285.4,25.0,0.93,1,2
Low,5,288.9,26.0,0.97,2,2
Low,5,282.3,23.5,0.88,3,2
Low,5,290.1,26.5,0.99,4,2
Low,5,287.0,25.5,0.95,5,2
Low,5,292.5,27.0,1.01,6,2
Low,5,284.8,24.8,0.93,7,2
Low,5,289.3,26.2,0.98,8,2
Medium,10,305.2,32.5,1.08,1,2
Medium,10,310.0,34.0,1.13,2,2
Medium,10,298.5,30.0,1.00,3,2
Medium,10,308.3,33.5,1.12,4,2
Medium,10,303.7,31.8,1.06,5,2
Medium,10,312.0,35.0,1.17,6,2
Medium,10,300.1,30.5,1.02,7,2
Medium,10,309.5,34.2,1.14,8,2
High,20,318.5,40.0,1.33,1,2
High,20,325.2,42.5,1.42,2,2
High,20,315.0,38.5,1.28,3,2
High,20,322.8,41.8,1.39,4,2
High,20,320.3,40.5,1.35,5,2
High,20,328.0,43.5,1.45,6,2
High,20,316.2,39.0,1.30,7,2
High,20,324.5,42.0,1.40,8,2
