gender,education,age,income,satisfaction,pre_score,post_score,group,method,q1,q2,q3,q4
Male,High School,25,35000,4,3,5,A,Method1,4,3,5,4
Female,Bachelor,30,45000,5,4,6,B,Method2,5,4,5,5
Male,Bachelor,35,55000,3,2,4,A,Method1,3,4,4,3
Female,Master,28,65000,5,3,5,B,Method2,5,5,5,4
Male,High School,42,40000,2,1,3,A,Method1,2,3,3,2
Female,Bachelor,33,50000,4,3,5,B,Method2,4,4,5,4
Male,Master,45,75000,5,4,6,A,Method1,5,5,5,5
Female,PhD,38,85000,4,3,5,B,Method2,5,4,4,5
Male,Bachelor,29,48000,3,2,4,A,Method1,3,3,4,3
Female,Master,31,58000,5,4,6,B,Method2,5,5,5,4
Male,High School,50,42000,2,1,2,A,Method1,2,2,3,2
Female,Bachelor,27,46000,4,3,5,B,Method2,4,4,5,4
Male,Master,36,68000,5,4,5,A,Method1,5,5,4,5
Female,PhD,40,82000,4,3,6,B,Method2,4,5,5,4
Male,Bachelor,34,52000,3,2,4,A,Method1,3,4,4,3
Female,Master,29,60000,5,3,5,B,Method2,5,4,5,5
Male,High School,43,38000,2,1,3,A,Method1,2,3,3,2
Female,Bachelor,32,51000,4,4,6,B,Method2,5,4,4,5
Male,Master,37,70000,5,4,5,A,Method1,5,5,5,5
Female,PhD,35,80000,4,3,5,B,Method2,4,5,5,4
Male,Bachelor,26,49000,3,2,4,A,Method1,3,3,4,3
Female,Master,39,63000,5,4,6,B,Method2,5,5,5,4
Male,High School,48,41000,2,1,2,A,Method1,2,2,3,2
Female,Bachelor,30,47000,4,3,5,B,Method2,4,4,5,4
Male,Master,33,66000,5,4,5,A,Method1,5,4,5,5
Female,PhD,41,83000,4,3,6,B,Method2,4,5,4,5
Male,Bachelor,28,50000,3,2,4,A,Method1,3,4,4,3
Female,Master,35,62000,5,3,5,B,Method2,5,4,5,5
Male,High School,46,39000,2,1,3,A,Method1,2,3,3,2
Female,Bachelor,31,53000,4,4,6,B,Method2,5,5,4,5
Male,Master,38,72000,5,4,5,A,Method1,5,5,5,5
Female,PhD,34,78000,4,3,5,B,Method2,4,4,5,4
Male,Bachelor,27,47000,3,2,4,A,Method1,3,3,4,3
Female,Master,40,65000,5,4,6,B,Method2,5,5,5,4
Male,High School,44,40000,2,1,2,A,Method1,2,2,3,2
Female,Bachelor,25,44000,4,3,5,B,Method2,4,4,5,4
Male,Master,32,67000,5,4,5,A,Method1,5,5,4,5
Female,PhD,42,86000,4,3,6,B,Method2,4,5,5,5
Male,Bachelor,29,51000,3,2,4,A,Method1,3,4,4,3
Female,Master,36,59000,5,4,5,B,Method2,5,4,5,4
